filepath,label,taxon_id,observation_id,photo_id,width,height
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345314983_629290020.jpg,monarch,48662,345314983,629290020,1024,577
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345330247_629318886.jpg,monarch,48662,345330247,629318886,472,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345333057_629324171.jpg,monarch,48662,345333057,629324171,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345334956_629328956.jpg,monarch,48662,345334956,629328956,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345334979_629328998.jpg,monarch,48662,345334979,629328998,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345337718_629333612.jpg,monarch,48662,345337718,629333612,1024,1007
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345339292_629336884.jpg,monarch,48662,345339292,629336884,757,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345344425_629347879.jpg,monarch,48662,345344425,629347879,771,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345347860_629354484.jpg,monarch,48662,345347860,629354484,1024,768
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345354121_629366048.jpg,monarch,48662,345354121,629366048,1024,819
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345364855_629387153.jpg,monarch,48662,345364855,629387153,1024,682
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345365314_629387966.jpg,monarch,48662,345365314,629387966,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345365826_629388819.jpg,monarch,48662,345365826,629388819,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345368391_629393820.jpg,monarch,48662,345368391,629393820,652,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345368582_629394345.jpg,monarch,48662,345368582,629394345,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345368727_629394655.jpg,monarch,48662,345368727,629394655,576,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345384234_629425146.jpg,monarch,48662,345384234,629425146,1024,903
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345385001_629427903.jpg,monarch,48662,345385001,629427903,1024,769
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345385532_629429089.jpg,monarch,48662,345385532,629429089,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345389446_629437216.jpg,monarch,48662,345389446,629437216,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345390225_629439685.jpg,monarch,48662,345390225,629439685,1024,681
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345390944_629381863.jpg,monarch,48662,345390944,629381863,1024,999
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345391831_629441803.jpg,monarch,48662,345391831,629441803,576,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345391853_629441912.jpg,monarch,48662,345391853,629441912,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345391899_629441999.jpg,monarch,48662,345391899,629441999,576,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345392438_629443439.jpg,monarch,48662,345392438,629443439,577,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345403370_629466458.jpg,monarch,48662,345403370,629466458,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345403861_629467549.jpg,monarch,48662,345403861,629467549,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345416496_629492181.jpg,monarch,48662,345416496,629492181,1024,768
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345422550_629507400.jpg,monarch,48662,345422550,629507400,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345423814_629510093.jpg,monarch,48662,345423814,629510093,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345430589_629522438.jpg,monarch,48662,345430589,629522438,1024,683
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345432150_629527486.jpg,monarch,48662,345432150,629527486,1024,768
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345463963_629588143.jpg,monarch,48662,345463963,629588143,1024,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345463971_629588811.jpg,monarch,48662,345463971,629588811,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345464050_629588846.jpg,monarch,48662,345464050,629588846,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345464357_629588873.jpg,monarch,48662,345464357,629588873,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345464547_629589237.jpg,monarch,48662,345464547,629589237,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345464871_629589669.jpg,monarch,48662,345464871,629589669,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345465042_629590003.jpg,monarch,48662,345465042,629590003,576,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345465189_629590259.jpg,monarch,48662,345465189,629590259,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345465402_629590524.jpg,monarch,48662,345465402,629590524,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345466808_629593617.jpg,monarch,48662,345466808,629593617,1024,768
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345466885_629593850.jpg,monarch,48662,345466885,629593850,768,1024
