filepath,label,taxon_id,observation_id,photo_id,width,height
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345334956_629328956.jpg,monarch,48662,345334956,629328956,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345337718_629333612.jpg,monarch,48662,345337718,629333612,1024,1007
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345344425_629347879.jpg,monarch,48662,345344425,629347879,771,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345354121_629366048.jpg,monarch,48662,345354121,629366048,1024,819
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345364855_629387153.jpg,monarch,48662,345364855,629387153,1024,682
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345368391_629393820.jpg,monarch,48662,345368391,629393820,652,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345368582_629394345.jpg,monarch,48662,345368582,629394345,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345385001_629427903.jpg,monarch,48662,345385001,629427903,1024,769
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345385532_629429089.jpg,monarch,48662,345385532,629429089,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345389446_629437216.jpg,monarch,48662,345389446,629437216,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345390944_629381863.jpg,monarch,48662,345390944,629381863,1024,999
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345391853_629441912.jpg,monarch,48662,345391853,629441912,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345391899_629441999.jpg,monarch,48662,345391899,629441999,576,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345403370_629466458.jpg,monarch,48662,345403370,629466458,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345416496_629492181.jpg,monarch,48662,345416496,629492181,1024,768
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345422550_629507400.jpg,monarch,48662,345422550,629507400,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345430589_629522438.jpg,monarch,48662,345430589,629522438,1024,683
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345463963_629588143.jpg,monarch,48662,345463963,629588143,1024,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345463971_629588811.jpg,monarch,48662,345463971,629588811,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345464050_629588846.jpg,monarch,48662,345464050,629588846,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345464357_629588873.jpg,monarch,48662,345464357,629588873,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345464547_629589237.jpg,monarch,48662,345464547,629589237,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345465042_629590003.jpg,monarch,48662,345465042,629590003,576,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345465189_629590259.jpg,monarch,48662,345465189,629590259,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345466808_629593617.jpg,monarch,48662,345466808,629593617,1024,768
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345466885_629593850.jpg,monarch,48662,345466885,629593850,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345489536_629632024.jpg,monarch,48662,345489536,629632024,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345490692_629634490.jpg,monarch,48662,345490692,629634490,809,835
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345494140_629641361.jpg,monarch,48662,345494140,629641361,1024,768
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345503489_629660573.jpg,monarch,48662,345503489,629660573,1015,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345504442_629662449.jpg,monarch,48662,345504442,629662449,473,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345504625_629662831.jpg,monarch,48662,345504625,629662831,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345521511_629688510.jpg,monarch,48662,345521511,629688510,1024,810
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345530665_629713235.jpg,monarch,48662,345530665,629713235,473,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345539212_629730242.jpg,monarch,48662,345539212,629730242,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345546517_629743985.jpg,monarch,48662,345546517,629743985,744,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345547904_630340412.jpg,monarch,48662,345547904,630340412,762,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345548176_629747627.jpg,monarch,48662,345548176,629747627,1024,969
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345549176_629770120.jpg,monarch,48662,345549176,629770120,1024,768
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345550955_629865799.jpg,monarch,48662,345550955,629865799,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345551073_629752833.jpg,monarch,48662,345551073,629752833,1024,701
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345554945_629760788.jpg,monarch,48662,345554945,629760788,824,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345555416_629761040.jpg,monarch,48662,345555416,629761040,1024,768
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345557612_629766193.jpg,monarch,48662,345557612,629766193,774,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345562415_629778390.jpg,monarch,48662,345562415,629778390,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345567129_629785647.jpg,monarch,48662,345567129,629785647,767,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345569869_629791933.jpg,monarch,48662,345569869,629791933,576,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345570344_629793164.jpg,monarch,48662,345570344,629793164,1024,966
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345574764_629802673.jpg,monarch,48662,345574764,629802673,1024,768
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345577300_629807268.jpg,monarch,48662,345577300,629807268,768,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345580625_629814780.jpg,monarch,48662,345580625,629814780,1024,768
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345581556_629816728.jpg,monarch,48662,345581556,629816728,1024,768
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345584030_629821710.jpg,monarch,48662,345584030,629821710,577,1024
C:\Users\фвьшт\PycharmProjects\butterfly_classifier\scripts\data\raw\monarch\monarch_345587071_629827804.jpg,monarch,48662,345587071,629827804,768,1024
